depth,h1_cost,h1_runtime,h2_cost,h2_runtime
4,8,0.097498,8,0.088421
4,10,0.073524,10,0.087129
4,10,0.088696,10,0.096281
4,10,0.094677,10,0.072215
4,10,0.115055,10,0.09612
4,10,0.113703,10,0.103324
4,10,0.096381,10,0.118351
4,10,0.094517,10,0.111839
4,10,0.118462,10,0.094467
4,10,0.093866,10,0.119303
8,16,0.134494,16,0.123396
8,47,0.341752,23,0.196027
8,30,0.214767,21,0.164191
8,29,0.260774,19,0.160038
8,31,0.231852,23,0.151808
8,49,0.328962,24,0.179389
8,33,0.290147,19,0.110127
8,12,0.081634,10,0.116653
8,30,0.235496,21,0.162027
8,49,0.362937,24,0.130677
12,123,0.643366,45,0.367629
12,147,0.872429,31,0.173243
12,131,0.714616,27,0.156009
12,151,1.067003,35,0.289032
12,204,1.474447,92,0.660076
12,133,1.046,30,0.227786
12,149,1.134728,34,0.218399
12,13,0.087063,13,0.098477
12,192,1.384769,67,0.45406
12,178,1.354397,81,0.423052
16,757,6.287438,70,0.539057
16,852,6.974099,103,0.713093
16,821,6.781275,73,0.518073
16,427,3.315571,71,0.53792
16,1193,10.09996,292,1.747462
16,750,5.987685,48,0.348018
16,298,2.34426,37,0.209638
16,57,0.41062,22,0.172929
16,1075,8.838696,170,0.838226
16,1089,6.159732,171,1.175334
20,5713,41.643866,257,1.872757
20,5239,33.822999,756,5.901184
20,5138,33.408018,640,4.264532
20,2357,15.394672,127,1.018807
20,5405,36.051122,743,4.612479
20,5837,38.613128,281,1.586453
20,1822,11.513242,102,0.73507
20,455,3.468473,94,0.487322
20,4970,32.968793,484,3.408318
20,4655,35.308127,333,1.738929
22,11618,86.580852,980,8.019089
22,11403,80.652939,728,4.762235
22,11707,83.372708,1247,7.727216
22,11783,89.49834,935,5.99331
22,11706,84.232608,963,6.564089
22,14744,108.499882,1243,7.211697
22,12210,89.066184,1284,8.443217
22,12519,88.503287,1491,8.883053
22,12730,92.830688,1716,11.072415
22,15821,115.238638,2164,13.401174
24,31556,258.212165,2684,17.140191
24,25802,202.295916,1327,7.785775
24,31432,251.226667,1884,12.910557
24,26203,207.64579,2394,14.921972
24,26715,216.163454,2276,13.837532
24,26710,210.805207,2060,12.54292
24,26919,213.054465,2134,13.120688
24,26823,210.805728,2490,15.470111
24,27271,214.6893,3002,19.340622
24,27599,220.901585,3545,25.433816
26,53252,462.176807,4355,28.159827
26,53095,461.257925,4246,27.742404
26,53376,466.156066,4274,27.892708
26,53633,478.438792,4323,28.763528
26,53243,458.887297,3872,25.081261
26,53478,467.559787,4967,32.590593
26,53207,467.723304,4240,32.118191
26,54090,464.216832,5344,36.806011
26,54296,484.535923,8103,55.480953
26,55276,507.626012,7500,51.630811
28,93827,802.143209,10854,80.224456
28,104757,915.948727,15934,118.180486
28,94108,822.022024,11095,81.781899
28,103606,927.212914,12619,92.978724
28,92167,814.057751,10476,73.520291
28,93145,825.362085,7996,55.132672
28,94148,835.687783,8670,63.588443
28,93119,817.696673,8645,58.29001
28,93435,777.668453,7601,54.426623
28,94070,827.730576,15257,113.740076
30,138216,1139.881761,22958,175.476441
30,147919,1214.326105,25985,203.997422
30,136768,1095.224221,29229,230.912978
30,137639,1123.820112,26930,216.525833
30,137592,1147.315703,25884,200.85789
30,139075,1117.45128,21490,167.33889
30,139713,1107.938838,18743,143.827811
30,14969,1210.763955,20996,161.882372
30,138477,1107.64701,25896,201.861223
30,137140,1112.729776,32224,262.607559
